# m=0, S=4
2.91709 7.54397
2.9397 7.66834
2.96231 7.79271
2.98492 7.91709
3.00754 8.04899
3.03015 8.19598
3.05276 8.34296
3.07538 8.48995
3.09799 8.63693
3.1206 8.78392
3.14322 8.9309
3.16583 9.07789
3.18844 9.22487
3.21106 9.37186
3.23367 9.51884
3.25628 9.66583
3.27889 9.81281
3.30151 9.9598
3.32412 10.1068
3.34673 10.2538
3.36935 10.4008
3.39196 10.5477
3.41457 10.6947
3.43719 10.8417
3.4598 10.9887
3.48241 11.1357
3.50503 11.2877
3.52764 11.4573
3.55025 11.6269
3.57286 11.7965
3.59548 11.9661
3.61809 12.1357
3.6407 12.3053
3.66332 12.4749
3.68593 12.6445
3.70854 12.8141
3.73116 12.9837
3.75377 13.1533
3.77638 13.3229
3.79899 13.4925
3.82161 13.6621
3.84422 13.8317
3.86683 14.0013
3.88945 14.1709
3.91206 14.3405
3.93467 14.5101
3.95729 14.6796
3.9799 14.8492
4.00251 15.0214
4.02513 15.2136
4.04774 15.4058
4.07035 15.598
4.09296 15.7902
4.11558 15.9824
4.13819 16.1746
4.1608 16.3668
4.18342 16.559
4.20603 16.7513
4.22864 16.9435
4.25126 17.1357
4.27387 17.3279
4.29648 17.5201
4.3191 17.7123
4.34171 17.9045
4.36432 18.0967
4.38693 18.2889
4.40955 18.4812
4.43216 18.6734
4.45477 18.8656
4.47739 19.0578
4.5 19.25
# m=3, S=0
0 0
0.0226131 -0.0224852
0.0452261 -0.0447148
0.0678392 -0.0666887
0.0904523 -0.0884069
0.113065 -0.109869
0.135678 -0.131076
0.158291 -0.152027
0.180905 -0.172723
0.203518 -0.193163
0.226131 -0.213347
0.248744 -0.233275
0.271357 -0.252948
0.29397 -0.272365
0.316583 -0.291527
0.339196 -0.310433
0.361809 -0.329083
0.384422 -0.347477
0.407035 -0.365616
0.429648 -0.383499
0.452261 -0.401126
0.474874 -0.418498
0.497487 -0.435614
0.520101 -0.452272
0.542714 -0.468167
0.565327 -0.483294
0.58794 -0.497655
0.610553 -0.511248
0.633166 -0.524075
0.655779 -0.536134
0.678392 -0.547426
0.701005 -0.557952
0.723618 -0.56771
0.746231 -0.576701
0.768844 -0.584925
0.791457 -0.592382
0.81407 -0.599073
0.836683 -0.604996
0.859296 -0.610152
0.88191 -0.614541
0.904523 -0.618163
0.927136 -0.621018
0.949749 -0.623106
0.972362 -0.624427
0.994975 -0.624981
1.01759 -0.624613
1.0402 -0.62298
1.06281 -0.620068
1.08543 -0.615878
1.10804 -0.610409
1.13065 -0.603662
1.15327 -0.595637
1.17588 -0.586333
1.19849 -0.575751
1.22111 -0.56389
1.24372 -0.550752
1.26633 -0.536334
1.28894 -0.520639
1.31156 -0.503665
1.33417 -0.485412
1.35678 -0.465882
1.3794 -0.445072
1.40201 -0.422985
1.42462 -0.399619
1.44724 -0.374975
1.46985 -0.349052
1.49246 -0.321851
1.51508 -0.293258
1.53769 -0.262904
1.5603 -0.23076
1.58291 -0.196826
1.60553 -0.161102
1.62814 -0.123589
1.65075 -0.0842861
1.67337 -0.0431934
1.69598 -0.000310914
1.71859 0.0443613
1.74121 0.0908231
1.76382 0.139075
1.78643 0.189116
1.80905 0.240947
1.83166 0.294568
1.85427 0.349979
1.87688 0.407179
1.8995 0.466169
1.92211 0.526948
1.94472 0.589518
1.96734 0.653877
1.98995 0.720026
2.01256 0.788044
2.03518 0.858312
2.05779 0.930881
2.0804 1.00575
2.10302 1.08292
2.12563 1.16239
2.14824 1.24417
2.17085 1.32824
2.19347 1.41462
2.21608 1.5033
2.23869 1.59427
2.26131 1.68755
2.28392 1.78313
2.30653 1.88101
2.32915 1.9812
2.35176 2.08368
2.37437 2.18846
2.39698 2.29555
2.4196 2.40493
2.44221 2.51662
2.46482 2.63061
2.48744 2.7469
2.51005 2.86554
2.53266 2.98692
2.55528 3.1111
2.57789 3.2381
2.6005 3.36792
2.62312 3.50054
2.64573 3.63598
2.66834 3.77423
2.69095 3.91529
2.71357 4.05916
2.73618 4.20585
2.75879 4.35535
2.78141 4.50766
