# m=0, S=4
2.53266 0.985197
2.55528 0.956207
2.57789 0.91234
2.6005 0.855082
2.62312 0.785918
2.64573 0.706331
2.66834 0.617806
2.69095 0.521829
2.71357 0.419884
2.73618 0.313456
2.75879 0.20403
2.78141 0.0930893
2.80402 -0.0178798
2.82663 -0.127393
2.84925 -0.233966
2.87186 -0.336113
2.89447 -0.432351
2.91709 -0.521193
2.9397 -0.601156
2.96231 -0.670755
2.98492 -0.728504
3.00754 -0.772935
3.03015 -0.803453
3.05276 -0.820825
3.07538 -0.825934
3.09799 -0.819663
3.1206 -0.802896
3.14322 -0.776515
3.16583 -0.741404
3.18844 -0.698445
3.21106 -0.648523
3.23367 -0.59252
3.25628 -0.531319
3.27889 -0.465803
3.30151 -0.396857
3.32412 -0.325362
3.34673 -0.252201
3.36935 -0.178259
3.39196 -0.104418
3.41457 -0.031562
3.43719 0.039427
3.4598 0.107665
3.48241 0.17227
3.50503 0.232359
3.52764 0.287341
3.55025 0.337229
3.57286 0.382113
3.59548 0.422085
3.61809 0.457233
3.6407 0.487649
3.66332 0.513422
3.68593 0.534642
3.70854 0.551401
3.73116 0.563788
3.75377 0.571892
3.77638 0.575806
3.79899 0.575618
3.82161 0.571419
3.84422 0.563299
3.86683 0.551348
3.88945 0.535657
3.91206 0.516315
3.93467 0.493414
3.95729 0.467043
3.9799 0.437292
4.00251 0.404251
4.02513 0.368024
4.04774 0.328749
4.07035 0.286572
4.09296 0.241636
4.11558 0.194088
4.13819 0.144073
4.1608 0.091735
4.18342 0.0372202
4.20603 -0.0193265
4.22864 -0.0777601
4.25126 -0.137935
4.27387 -0.199707
4.29648 -0.26293
4.3191 -0.32746
4.34171 -0.393151
4.36432 -0.459857
4.38693 -0.527435
4.40955 -0.595738
4.43216 -0.664621
4.45477 -0.733941
4.47739 -0.80355
4.5 -0.873305
# m=3, S=0
0 -5.20435
0.0226131 -5.19452
0.0452261 -5.16503
0.0678392 -5.11587
0.0904523 -5.04706
0.113065 -4.95858
0.135678 -4.85045
0.158291 -4.72265
0.180905 -4.57519
0.203518 -4.40807
0.226131 -4.22129
0.248744 -4.01485
0.271357 -3.78874
0.29397 -3.54298
0.316583 -3.27755
0.339196 -2.99247
0.361809 -2.68772
0.384422 -2.36331
0.407035 -2.01924
0.429648 -1.65551
0.452261 -1.27211
0.474874 -0.869061
0.497487 -0.446346
0.520101 -0.0225896
0.542714 0.373987
0.565327 0.743093
0.58794 1.08473
0.610553 1.39889
0.633166 1.68559
0.655779 1.94481
0.678392 2.17656
0.701005 2.38084
0.723618 2.55765
0.746231 2.70699
0.768844 2.82886
0.791457 2.92326
0.81407 2.99019
0.836683 3.02965
0.859296 3.04164
0.88191 3.02615
0.904523 2.9832
0.927136 2.91277
0.949749 2.81488
0.972362 2.68951
0.994975 2.53667
1.01759 2.36295
1.0402 2.183
1.06281 1.99735
